year,verification_status,note,source_url
2001,verified,Complete TR10 list for 2001.,https://www.technologyreview.com/supertopic/tr10-archive/
2002,none,No list was published this year.,https://www.technologyreview.com/supertopic/tr10-archive/
2003,verified,Complete TR10 list for 2003.,https://www.technologyreview.com/supertopic/tr10-archive/
2004,verified,Complete TR10 list for 2004.,https://www.technologyreview.com/supertopic/tr10-archive/
2005,verified,Complete TR10 list for 2005.,https://www.technologyreview.com/supertopic/tr10-archive/
2006,verified,Complete TR10 list for 2006.,https://www.technologyreview.com/supertopic/tr10-archive/
2007,verified,Complete TR10 list for 2007.,https://www.technologyreview.com/supertopic/tr10-archive/
2008,verified,Complete TR10 list for 2008.,https://www.technologyreview.com/supertopic/tr10-archive/
2009,verified,Complete TR10 list for 2009.,https://www.technologyreview.com/supertopic/tr10-archive/
2010,verified,Complete TR10 list for 2010.,https://www.technologyreview.com/supertopic/tr10-archive/
2011,verified,Complete TR10 list for 2011.,https://www.technologyreview.com/supertopic/tr10-archive/
2012,verified,Complete TR10 list for 2012.,https://www.technologyreview.com/supertopic/tr10-archive/
2013,verified,Complete TR10 list for 2013.,https://www.technologyreview.com/supertopic/tr10-archive/
2014,verified,Complete TR10 list for 2014.,https://www.technologyreview.com/supertopic/tr10-archive/
2015,verified,Complete TR10 list for 2015.,https://www.technologyreview.com/supertopic/tr10-archive/
2016,verified,Complete TR10 list for 2016.,https://www.technologyreview.com/supertopic/tr10-archive/
2017,verified,Complete TR10 list for 2017.,https://www.technologyreview.com/supertopic/tr10-archive/
2018,verified,Complete TR10 list for 2018.,https://www.technologyreview.com/supertopic/tr10-archive/
2019,verified,Bill Gates guest-curated. Complete TR10 list for 2019.,https://www.technologyreview.com/supertopic/tr10-archive/
2020,verified,Complete TR10 list for 2020.,https://www.technologyreview.com/supertopic/tr10-archive/
2021,verified,20th anniversary list. Complete TR10 list for 2021.,https://www.technologyreview.com/supertopic/tr10-archive/
2022,verified,Complete TR10 list for 2022.,https://www.technologyreview.com/supertopic/tr10-archive/
2023,verified,Complete TR10 list for 2023.,https://www.technologyreview.com/supertopic/tr10-archive/
2024,verified,Complete TR10 list for 2024.,https://www.technologyreview.com/supertopic/tr10-archive/
2025,verified,Complete TR10 list for 2025.,https://www.technologyreview.com/supertopic/tr10-archive/
2026,verified,25th edition. Complete TR10 list for 2026.,https://www.technologyreview.com/2026/01/12/1130697
