id,year,list_index,name,slug,description,category,verification_status,published_on,mit_source_url,benchmark_ticker
1,2001,1,Brain-Machine Interface,2001-brain-machine-interface,Early neural interfaces connecting brains to machines.,biotech,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
2,2001,2,Flexible Transistors,2001-flexible-transistors,Transistors on flexible substrates for new form factors.,hardware,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
3,2001,3,Data Mining,2001-data-mining,Extracting patterns from large datasets at commercial scale.,ai,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
4,2001,4,Digital Rights Management,2001-digital-rights-management,Technical controls for digital media distribution.,consumer,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
5,2001,5,Biometrics,2001-biometrics,"Identity from fingerprints, faces, and other biological signals.",hardware,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
6,2001,6,Natural Language Processing,2001-natural-language-processing,Machines reading and generating human language.,ai,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
7,2001,7,Microphotonics,2001-microphotonics,Optical components at chip scale.,hardware,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
165,2001,8,Untangling Code,2001-untangling-code,Tools for understanding and restructuring complex software.,ai,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
9,2001,9,Robot Design,2001-robot-design,New approaches to designing practical robots.,hardware,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
10,2001,10,Microfluidics,2001-microfluidics,Lab-on-a-chip fluid handling.,biotech,verified,2001-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
11,2003,1,Wireless Sensor Networks,2003-wireless-sensor-networks,Distributed sensing over wireless mesh networks.,hardware,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
12,2003,2,Injectable Tissue Engineering,2003-injectable-tissue-engineering,Injectable materials that help tissue regenerate.,biotech,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
13,2003,3,Nano Solar Cells,2003-nano-solar-cells,Nanomaterials aimed at cheaper photovoltaics.,energy,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
14,2003,4,Mechatronics,2003-mechatronics,"Tight integration of mechanics, electronics, and control.",hardware,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
15,2003,5,Grid Computing,2003-grid-computing,Shared computing across institutional boundaries.,ai,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
16,2003,6,Molecular Imaging,2003-molecular-imaging,Imaging biochemical processes in living systems.,biotech,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
17,2003,7,Nanoimprint Lithography,2003-nanoimprint-lithography,Stamping nanoscale patterns as an alternative to photolithography.,hardware,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
18,2003,8,Software Assurance,2003-software-assurance,Methods to prove software behaves as specified.,ai,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
19,2003,9,Glycomics,2003-glycomics,Systematic study of sugars in biology.,biotech,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
20,2003,10,Quantum Cryptography,2003-quantum-cryptography,Key distribution using quantum states.,hardware,verified,2003-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
21,2004,1,Universal Translation,2004-universal-translation,Machine translation toward language-universal coverage.,ai,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
22,2004,2,Synthetic Biology,2004-synthetic-biology,Engineering living systems from standardized parts.,biotech,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
23,2004,3,Nanowires,2004-nanowires,One-dimensional conductors for electronics and sensing.,hardware,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
25,2004,4,T-Rays,2004-t-rays,Terahertz imaging between microwave and infrared.,hardware,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
26,2004,5,Distributed Storage,2004-distributed-storage,Data stored across many machines rather than one vault.,ai,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
27,2004,6,RNAi Interference,2004-rnai-interference,Silencing genes with RNA interference.,biotech,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
28,2004,7,Power Grid Control,2004-power-grid-control,Software and sensors for a more controllable grid.,energy,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
29,2004,8,Microfluidic Optical Fibers,2004-microfluidic-optical-fibers,Fibers that combine light and fluid channels.,hardware,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
24,2004,9,Bayesian Machine Learning,2004-bayesian-machine-learning,Probabilistic models that quantify uncertainty.,ai,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
30,2004,10,Personal Genomics,2004-personal-genomics,Cheap enough genomes to be individual medical records.,biotech,verified,2004-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
166,2005,1,Airborne Networks,2005-airborne-networks,Ad-hoc networks among aircraft and other flying nodes.,hardware,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
