technology_id,company_id,ticker,confidence,role_note,added_by,added_at
31,1,NVDA,direct,Already the leading GPU vendor; researchers were adopting CUDA for neural nets by 2013.,seed-v1,2026-09-01T00:00:00
31,2,GOOGL,direct,Google Brain was a named deep-learning effort before the 2013 list.,seed-v1,2026-09-01T00:00:00
31,7,IBM,direct,Watson and later neuromorphic/AI bets were the public IBM story at the time.,seed-v1,2026-09-01T00:00:00
31,3,MSFT,exposed,Enterprise software vendor building ML tooling; not a pure-play then.,seed-v1,2026-09-01T00:00:00
31,8,INTC,exposed,Incumbent CPU vendor that tried to stay relevant to training workloads and lagged.,seed-v1,2026-09-01T00:00:00
31,12,BIDU,exposed,Chinese search company with an early public deep-learning lab.,seed-v1,2026-09-01T00:00:00
32,13,FSLR,direct,Thin-film utility solar manufacturer operating at list time.,seed-v1,2026-09-01T00:00:00
32,16,CSIQ,direct,Module manufacturer exposed to efficiency and cost curves.,seed-v1,2026-09-01T00:00:00
32,14,ENPH,exposed,Microinverters; downstream of panel efficiency rather than cell physics.,seed-v1,2026-09-01T00:00:00
34,82,SNAP,direct,Snapchat is the product MIT was pointing at; IPO was later so returns start at IPO.,seed-v1,2026-09-01T00:00:00
34,5,META,exposed,"Incumbent social network that copied Stories; included as exposed, not the originator.",seed-v1,2026-09-01T00:00:00
35,17,GRMN,direct,Shipped consumer smartwatches before Apple Watch.,seed-v1,2026-09-01T00:00:00
35,90,FIT,direct,Wearable specialist later acquired by Alphabet — kept at exit to avoid survivorship bias.,seed-v1,2026-09-01T00:00:00
35,6,AAPL,exposed,Apple Watch shipped in 2015; included as the firm that made the category mass-market.,seed-v1,2026-09-01T00:00:00
36,23,DE,direct,John Deere was already buying precision-ag and later drone/see-and-spray capabilities. DJI is private.,seed-v1,2026-09-01T00:00:00
36,88,HON,exposed,Industrial automation and aerospace sensors; indirect.,seed-v1,2026-09-01T00:00:00
39,7,IBM,direct,TrueNorth was the named IBM neuromorphic project of that era.,seed-v1,2026-09-01T00:00:00
39,8,INTC,direct,Loihi research chips; commercial impact stayed limited.,seed-v1,2026-09-01T00:00:00
39,1,NVDA,exposed,"Won the adjacent AI-silicon market with GPUs, not neuromorphic designs.",seed-v1,2026-09-01T00:00:00
40,18,CRSP,direct,CRISPR therapeutics company; IPO 2016 so window starts then.,seed-v1,2026-09-01T00:00:00
40,19,EDIT,direct,Editas was an early CRISPR name.,seed-v1,2026-09-01T00:00:00
40,20,NTLA,direct,"Intellia, another first-wave CRISPR company.",seed-v1,2026-09-01T00:00:00
40,21,VRTX,exposed,Large biotech that later partnered on CRISPR medicines; not a CRISPR startup.,seed-v1,2026-09-01T00:00:00
43,5,META,direct,Bought Oculus in 2014; this is the public-market vehicle for that bet.,seed-v1,2026-09-01T00:00:00
43,6,AAPL,exposed,Later shipped Vision Pro; not a 2014 VR incumbent.,seed-v1,2026-09-01T00:00:00
43,82,SNAP,exposed,"Spectacles / AR camera glasses; adjacent hardware, not Oculus.",seed-v1,2026-09-01T00:00:00
45,13,FSLR,direct,Utility solar operator/manufacturer whose value depends on dispatchable renewables.,seed-v1,2026-09-01T00:00:00
45,14,ENPH,direct,Inverters and energy management software.,seed-v1,2026-09-01T00:00:00
45,87,RUN,exposed,Residential solar installer; demand-side of 'smart' solar.,seed-v1,2026-09-01T00:00:00
46,5,META,exposed,"Magic Leap stayed private and struggled; Meta is the public AR/VR analog, not the named company.",seed-v1,2026-09-01T00:00:00
46,82,SNAP,exposed,Consumer AR glasses; a weak proxy and labelled exposed on purpose.,seed-v1,2026-09-01T00:00:00
49,2,GOOGL,direct,"Loon was an Alphabet X project, later shut down — the parent is the listed vehicle.",seed-v1,2026-09-01T00:00:00
50,26,GH,direct,Guardant is a named liquid-biopsy company (IPO 2018).,seed-v1,2026-09-01T00:00:00
50,27,EXAS,direct,Cologuard / cancer screening from blood and stool.,seed-v1,2026-09-01T00:00:00
50,28,NTRA,direct,Cell-free DNA testing company.,seed-v1,2026-09-01T00:00:00
50,22,ILMN,exposed,Sequencing picks-and-shovels rather than a biopsy product.,seed-v1,2026-09-01T00:00:00
52,6,AAPL,direct,The named product.,seed-v1,2026-09-01T00:00:00
52,29,V,exposed,Card networks capture volume if tap-to-pay wins.,seed-v1,2026-09-01T00:00:00
52,30,MA,exposed,Same network exposure as Visa.,seed-v1,2026-09-01T00:00:00
55,22,ILMN,direct,Sequencing hardware and data platforms sit under shared genomic databases.,seed-v1,2026-09-01T00:00:00
58,4,AMZN,direct,Alexa was the breakout consumer assistant of that moment.,seed-v1,2026-09-01T00:00:00
58,2,GOOGL,direct,Google Assistant / Home.,seed-v1,2026-09-01T00:00:00
58,6,AAPL,exposed,Siri existed; less commercially central in 2016.,seed-v1,2026-09-01T00:00:00
58,3,MSFT,exposed,Cortana was a live bet that did not become the interface.,seed-v1,2026-09-01T00:00:00
59,33,BA,direct,"Legacy launch competitor; SpaceX is private so Boeing is a listed, often losing, analog.",seed-v1,2026-09-01T00:00:00
59,34,LMT,exposed,Launch and space systems; not a reusable-booster specialist.,seed-v1,2026-09-01T00:00:00
59,32,RKLB,exposed,Public small-launch company (IPO 2021); not SpaceX and not 2016-listed.,seed-v1,2026-09-01T00:00:00
62,31,TSLA,direct,Tesla acquired SolarCity in 2016; the factory bet sits on this ticker.,seed-v1,2026-09-01T00:00:00
63,89,WORK,direct,Slack itself; delisted at the Salesforce deal so the score keeps the exit.,seed-v1,2026-09-01T00:00:00
63,3,MSFT,exposed,"Teams is the incumbent response, not the MIT subject.",seed-v1,2026-09-01T00:00:00
63,37,CRM,exposed,Acquirer; holds Slack after July 2021.,seed-v1,2026-09-01T00:00:00
64,31,TSLA,direct,The named product.,seed-v1,2026-09-01T00:00:00
64,35,GM,exposed,"Super Cruise / Cruise — a real contemporaneous ADAS effort, including later setbacks.",seed-v1,2026-09-01T00:00:00
64,91,MBLY,exposed,Mobileye (re-IPO 2022) sold the vision stack many OEMs used.,seed-v1,2026-09-01T00:00:00
66,31,TSLA,exposed,Semi and autonomy narrative; not a trucking-autonomy pure play.,seed-v1,2026-09-01T00:00:00
66,35,GM,exposed,Cruise attempted broader autonomy and retrenched.,seed-v1,2026-09-01T00:00:00
68,7,IBM,direct,Public cloud quantum program running at list time.,seed-v1,2026-09-01T00:00:00
68,2,GOOGL,direct,Hardware quantum effort that later claimed supremacy.,seed-v1,2026-09-01T00:00:00
68,38,IONQ,exposed,"Pure-play, but listed years later — window starts at IPO.",seed-v1,2026-09-01T00:00:00
68,39,RGTI,exposed,Same caveat as IonQ.,seed-v1,2026-09-01T00:00:00
71,40,SRPT,direct,Commercial gene-therapy franchise.,seed-v1,2026-09-01T00:00:00
71,41,BMRN,direct,Early commercial gene-therapy company.,seed-v1,2026-09-01T00:00:00
71,21,VRTX,exposed,"Large biotech with genetic-disease drugs, not classic gene therapy.",seed-v1,2026-09-01T00:00:00
74,2,GOOGL,direct,DeepMind's RL results were the public proof point.,seed-v1,2026-09-01T00:00:00
74,1,NVDA,exposed,Sells the compute RL consumes.,seed-v1,2026-09-01T00:00:00
74,3,MSFT,exposed,Cloud and later OpenAI; not an RL lab in 2017.,seed-v1,2026-09-01T00:00:00
74,31,TSLA,exposed,Autonomy framed as a learning-from-fleet problem.,seed-v1,2026-09-01T00:00:00
75,24,DDD,direct,Incumbent additive manufacturer.,seed-v1,2026-09-01T00:00:00
75,25,SSYS,direct,Incumbent additive manufacturer.,seed-v1,2026-09-01T00:00:00
75,88,HON,exposed,Aerospace manufacturer that uses and supplies additive parts.,seed-v1,2026-09-01T00:00:00
78,3,MSFT,direct,Azure cognitive APIs and later OpenAI distribution.,seed-v1,2026-09-01T00:00:00
