technology_id,analogous_technology_id,note
155,31,Same trade: the picks-and-shovels of an AI compute wave.
155,106,Language-model demand showing up as capex in clouds and chips.
156,86,Earlier MIT nuclear-revival cohort.
160,109,"Previous 'better battery chemistry' cohort — high dispersion, many zeros."
160,117,Grid-storage demand is the overlapping end market.
161,106,LLM capability showing up inside developer tools.
161,78,Cloud AI APIs as the prior 'software will embed models' call.
158,58,Previous consumer-assistant cohort (Alexa/Google/Siri).
158,94,Voice agents that hold a conversation — mixed commercial follow-through.
159,59,Launch cost is the gating input; SpaceX remains private in both eras.
159,100,"Commercial space infrastructure listed names, with Starlink private."
162,40,"First CRISPR cohort — long duration, high dispersion."
162,141,Approved CRISPR therapy as the nearest commercial analog.
157,83,Polygenic scoring leaving the lab into consumer/clinic products.
163,31,Research-heavy AI category where listed exposure is the labs' parents.
164,133,Reading old genomes versus writing them back.
